Order_ID,Order_Date,Ship_Date,Region,City,Category,Sub_Category,Customer_Segment,Payment_Mode,Sales,Quantity,Discount,Profit
ORD-10000,2025-11-08,2025-11-12,South,Chennai,Office Supplies,Notebook,Consumer,Debit Card,19039.74,8,0.18,-1881.06
ORD-10001,2024-08-20,2024-08-26,South,Delhi,Furniture,Wardrobe,Home Office,Debit Card,8221.73,8,0.1,-176.16
ORD-10002,2025-11-24,2025-11-25,North,Hyderabad,Electronics,Tablet,Consumer,Net Banking,32718.98,5,0.29,-2405.22
ORD-10003,2025-11-25,2025-12-02,South,Hyderabad,Furniture,Chair,Home Office,Net Banking,11010.79,5,0.19,-194.55
ORD-10004,2024-09-28,2024-10-04,West,Ahmedabad,Electronics,Laptop,Home Office,UPI,849.78,9,0.09,70.0
ORD-10005,2025-03-16,2025-03-20,North,Bangalore,Electronics,Tablet,Consumer,Debit Card,7404.95,3,0.11,1011.86
ORD-10006,2025-05-31,2025-06-01,East,Mumbai,Electronics,Laptop,Consumer,UPI,23604.76,5,0.18,-2263.58
ORD-10007,2024-02-21,2024-02-23,North,Mumbai,Office Supplies,Pen Set,Corporate,Debit Card,3720.05,4,0.28,-436.52
ORD-10008,2024-10-07,2024-10-13,West,Mumbai,Furniture,Sofa,Home Office,Net Banking,19578.12,5,0.07,552.2
ORD-10009,2025-11-14,2025-11-17,North,Pune,Office Supplies,Printer,Corporate,Credit Card,34321.54,8,0.01,7614.72
ORD-10010,2023-08-02,2023-08-08,West,Ahmedabad,Electronics,Tablet,Home Office,Credit Card,13309.61,8,0.23,-1264.0
ORD-10011,2025-12-24,2025-12-30,North,Mumbai,Office Supplies,Notebook,Home Office,Debit Card,10793.11,4,0.06,1985.04
ORD-10012,2025-12-11,2025-12-12,North,Kolkata,Electronics,Smartphone,Corporate,Credit Card,38869.07,2,0.12,4482.84
ORD-10013,2024-02-14,2024-02-19,North,Pune,Electronics,Tablet,Home Office,UPI,36499.96,8,0.17,-577.91
ORD-10014,2023-09-02,2023-09-03,East,Hyderabad,Office Supplies,Desk Organizer,Home Office,Credit Card,48078.02,5,0.12,-756.28
ORD-10015,2023-09-19,2023-09-21,South,Hyderabad,Office Supplies,Printer,Consumer,Debit Card,41522.51,9,0.08,3261.15
ORD-10016,2025-04-05,2025-04-09,West,Ahmedabad,Furniture,Table,Consumer,Debit Card,7475.75,1,0.0,1006.84
